№ з/п;Показник;Прогноз 2019 сценарій 1;Прогноз 2019 сценарій 2;Прогноз 2019 сценарій 3
1;Валовий внутрішній продукт номінальний, млрд. гривень;3 946,90;4 004,10;3 982,90
2;Валовий внутрішній продукт відсотків до попереднього року;103;104,1;101,1
3;Індекс споживчих цін у середньому до попереднього року, відсотків;108,7;109,7;112,8
4;Індекс споживчих цін грудень до грудня попереднього року, відсотків;107,4;108,7;112,4
5;Індекс цін виробників промислової продукції (грудень до грудня попереднього року), відсотків;110,1;110,5;114,8
6;Прибуток прибуткових підприємств, млрд. гривень;882,1;909,2;855,6
7;Фонд оплати праці найманих працівників і грошового забезпечення військовослужбовців, млрд. гривень;1142,7;1204,3;1137,9
8;Середньомісячна заробітна плата працівників, брутто номінальна, гривень;10 129;10 595;10 118
9;Середньомісячна заробітна плата працівників, брутто номінальна, скоригована на індекс споживчих цін, відсотків до попереднього року;106,9;110,8;102,9
10;Кількість зайнятих економічною діяльністю у віці 15—70 років, млн. осіб;16,36;16,39;16,32
11;Рівень безробіття населення у віці 15—70 років за методологією Міжнародної організації праці, відсотків до економічно активного населення відповідного віку;8,9;8,8;9,2
12;Продуктивність праці, відсотків до попереднього року;102,4;103,3;100,8
13;Сальдо торговельного балансу, визначене за методологією платіжного балансу, млн. доларів США;-11 747;-11 609;-10 771
14;Експорт товарів і послуг, млн. доларів США;63 006;63 278;61 261
15;Експорт товарів і послуг, відсотків до попереднього року;108,3;108,8;105,3
16;Імпорт товарів і послуг, млн. доларів США;74 753;74 887;72 032
17;Імпорт товарів і послуг, відсотків до попереднього року;109,1;109,3;105,1
