;Показник;Прогноз 2020 сценарій 1;Прогноз 2020 сценарій 2;Прогноз 2020 сценарій 3;Прогноз 2021 сценарій 1;Прогноз 2021 сценарій 2;Прогноз 2021 сценарій 3
1;Валовий внутрішній продукт номінальний, млрд. гривень;4 450,90;4 609;4 502,60;4 972,60;5 223,90;5 045,30
2;Валовий внутрішній продукт, відсотків до попереднього року;103,8;105;101,6;104,1;105,4;102,1
3;Індекс споживчих цін у середньому до попереднього року, відсотків;106,7;107,9;109,9;105,5;106,1;107,8
4;Індекс споживчих цін грудень до грудня попереднього року, відсотків;105,6;107;108,6;105;105,2;106,7
5;Індекс цін виробників промислової продукції (грудень до грудня попереднього року), відсотків;108,2;109;110,9;105,9;106,5;108,2
6;Прибуток прибуткових підприємств, млрд. гривень;999,5;1055,5;950,3;1128,4;1212,6;1069,9
7;Фонд оплати праці найманих працівників і грошового забезпечення військовослужбовців, млрд. гривень;1290,8;1393,7;1267,1;1444,5;1582,6;1402,3
8;Середньомісячна заробітна плата працівників, брутто номінальна, гривень;11 451;12 137;11 359;12 835;13 766;12 663
9;Середньомісячна заробітна плата працівників, брутто номінальна, скоригована на індекс споживчих цін, відсотків до попереднього року;106;106,2;102,2;106,2;106,9;103,4
10;Кількість зайнятих економічною діяльністю у віці15—70 років, млн. осіб;16,46;16,55;16,38;16,52;16,7;16,41
11;Рівень безробіття населення у віці 15—70 років за методологією Міжнародної організації праці, відсотків до економічно активного населення відповідного віку;8,5;8,2;9;8,3;7,8;8,9
12;Продуктивність праці, відсотків до попереднього року;103,2;104;101,2;103,7;104,4;101,9
13;Сальдо торговельного балансу, визначене за методологією платіжного балансу, млн. доларів США;-12 195;-13 764;-11 224;-12 975;-16 015;-12 186
14;Експорт товарів і послуг, млн. доларів США;68 007;69 283;64 714;74 650;76 023;68 933
15;Експорт товарів і послуг, відсотків до попереднього року;107,9;109,5;105,6;109,8;109,7;106,5
16;Імпорт товарів і послуг, млн. доларів США;80 202;83 047;75 938;87 625;92 038;81 119
17;Імпорт товарів і послуг, відсотків до попереднього року;107,3;110,9;105,4;109,3;110,8;106,8
